section_crn,day_id
10714,Friday
10501,Monday
10501,Wednesday
10501,Friday
10554,Monday
10554,Wednesday
10554,Friday
10357,Tuesday
10357,Thursday
12161,Tuesday
12161,Thursday
10207,Tuesday
10207,Thursday
11193,Tuesday
11193,Thursday
11045,Tuesday
11045,Thursday
10716,Tuesday
10716,Thursday
10717,Tuesday
10717,Thursday
10312,Tuesday
10312,Thursday
12150,Tuesday
12150,Thursday
10377,Tuesday
10377,Thursday
10818,Tuesday
10818,Thursday
10146,Tuesday
10146,Thursday
12158,Tuesday
12152,Tuesday
12159,Tuesday
12154,Tuesday
12151,Tuesday
12733,Thursday
10638,Thursday
12165,Thursday
12157,Thursday
10802,Thursday
10316,Thursday
11270,Thursday
12163,Thursday
12155,Thursday
11481,Wednesday
11265,Thursday
11480,Monday
11267,Thursday
10504,Monday
11188,Thursday
10803,Monday
11223,Friday
10142,Monday
12648,Wednesday
10315,Wednesday
10368,Wednesday
10355,Tuesday
10354,Thursday
12153,Wednesday
11192,Tuesday
10144,Tuesday
11221,Monday
10140,Wednesday
10208,Thursday
10143,Thursday
10805,Tuesday
10313,Tuesday
12734,Tuesday
10353,Tuesday
10138,Tuesday
10640,Tuesday
10639,Tuesday
10801,Friday
11266,Monday
11268,Monday
10443,Wednesday
10217,Tuesday
11269,Wednesday
12160,Friday
11222,Wednesday
10317,Monday
11271,Tuesday
10141,Tuesday
11272,Tuesday
10718,Tuesday
12164,Thursday
10345,Tuesday
10502,Monday
10505,Wednesday
10804,Tuesday
12149,Monday
11181,Thursday
10314,Monday
10356,Tuesday
11264,Monday
10521,Friday
10520,Wednesday
10147,Tuesday
11182,Thursday
11183,Tuesday
11184,Thursday
11289,Tuesday
11190,Monday
11185,Monday
11186,Thursday
11187,Wednesday
11189,Monday
11180,Tuesday
11647,Wednesday
11910,Tuesday
12649,Monday
12650,Monday
12766,Tuesday
12767,Thursday
12651,Tuesday
12651,Thursday
10148,Tuesday
10149,Thursday
12136,Thursday
12137,Thursday
12309,Wednesday
11709,Monday
10940,Tuesday
13691,Tuesday
13058,Wednesday
13058,Friday
12138,Tuesday
12138,Thursday
11562,Wednesday
11562,Friday
12999,Tuesday
12999,Thursday
11563,Tuesday
11563,Thursday
13000,Monday
13000,Wednesday
11564,Tuesday
11564,Thursday
12139,Monday
12139,Wednesday
11109,Monday
11109,Wednesday
14678,Tuesday
14680,Monday
14680,Wednesday
11710,Monday
11710,Wednesday
11515,Tuesday
14681,Tuesday
14681,Thursday
14682,Tuesday
14683,Tuesday
14683,Thursday
14688,Tuesday
14688,Thursday
14685,Monday
14685,Wednesday
13350,Tuesday
13350,Thursday
14686,Wednesday
14556,Tuesday
14556,Thursday
13354,Monday
13354,Wednesday
14687,Monday
14687,Wednesday
12235,Tuesday
12235,Thursday
10757,Tuesday
10757,Thursday
11321,Tuesday
11321,Thursday
14618,Friday
10588,Wednesday
10587,Tuesday
10587,Thursday
11078,Monday
13062,Monday
10725,Tuesday
10726,Tuesday
10727,Wednesday
10728,Wednesday
10729,Tuesday
10729,Thursday
10350,Tuesday
10350,Thursday
10420,Monday
10420,Wednesday
10420,Friday
11774,Tuesday
11774,Thursday
14664,Tuesday
13483,Tuesday
13483,Thursday
11775,Monday
10351,Wednesday
10730,Monday
11074,Monday
11074,Wednesday
14652,Monday
14652,Wednesday
14653,Monday
14653,Wednesday
12626,Monday
12626,Wednesday
14654,Monday
14654,Wednesday
10646,Wednesday
11404,Thursday
13151,Tuesday
13152,Thursday
10647,Tuesday
10647,Thursday
14751,Monday
14751,Wednesday
14655,Monday
14655,Wednesday
14656,Tuesday
11771,Tuesday
11771,Thursday
11772,Tuesday
11772,Thursday
11292,Tuesday
11292,Thursday
14616,Tuesday
14616,Thursday
12991,Tuesday
12991,Thursday
14617,Friday
14657,Monday
14657,Wednesday
10936,Monday
10936,Wednesday
12832,Monday
12832,Wednesday
12082,Monday
12082,Wednesday
12082,Friday
14440,Tuesday
14440,Thursday
12083,Tuesday
12083,Thursday
13266,Monday
13266,Wednesday
14433,Monday
14433,Wednesday
14434,Monday
14434,Wednesday
14435,Tuesday
14435,Thursday
11921,Wednesday
12611,Monday
12611,Wednesday
11318,Monday
11318,Wednesday
14437,Monday
14437,Wednesday
14438,Monday
14438,Wednesday
14439,Monday
14439,Wednesday
11145,Monday
11145,Wednesday
10022,Tuesday
10022,Thursday
12627,Monday
12627,Wednesday
12628,Tuesday
12628,Thursday
12629,Tuesday
12629,Thursday
13359,Tuesday
13359,Thursday
11773,Tuesday
11773,Thursday
14658,Monday
14602,Tuesday
14602,Thursday
12631,Tuesday
12631,Thursday
12630,Monday
14660,Monday
13462,Monday
10117,Tuesday
10117,Thursday
11304,Monday
11304,Wednesday
11304,Friday
10184,Tuesday
10184,Thursday
10185,Monday
10185,Wednesday
10185,Friday
10186,Monday
10186,Wednesday
10186,Friday
10187,Monday
10187,Wednesday
10187,Friday
12324,Monday
12324,Wednesday
12324,Friday
12972,Monday
12972,Wednesday
12972,Friday
12325,Monday
12325,Wednesday
12325,Friday
12326,Monday
12326,Wednesday
12326,Friday
12508,Tuesday
12508,Thursday
12509,Tuesday
12509,Thursday
10722,Monday
10722,Wednesday
10722,Thursday
10722,Friday
10668,Monday
10668,Wednesday
10668,Thursday
10668,Friday
10450,Monday
10450,Wednesday
10450,Thursday
10450,Friday
10309,Monday
10309,Wednesday
10309,Thursday
10309,Friday
11242,Monday
11242,Wednesday
11242,Thursday
11242,Friday
12329,Tuesday
12329,Thursday
11667,Monday
11667,Wednesday
11667,Thursday
11667,Friday
11503,Monday
11503,Wednesday
11503,Thursday
11503,Friday
11502,Monday
11502,Wednesday
11502,Thursday
11502,Friday
10451,Monday
10451,Wednesday
10451,Thursday
10451,Friday
10189,Monday
10189,Wednesday
10189,Thursday
10189,Friday
10390,Monday
10390,Wednesday
10390,Thursday
10390,Friday
10815,Monday
10815,Wednesday
10815,Thursday
10815,Friday
10667,Monday
10667,Wednesday
10667,Thursday
10667,Friday
11375,Monday
11375,Wednesday
11375,Thursday
11375,Friday
10441,Monday
10441,Wednesday
10441,Thursday
10441,Friday
12510,Monday
12510,Wednesday
12510,Thursday
12510,Friday
12511,Monday
12511,Wednesday
12511,Thursday
12511,Friday
10225,Monday
10225,Wednesday
10225,Thursday
10225,Friday
10190,Monday
10190,Wednesday
10190,Thursday
10190,Friday
10220,Monday
10220,Wednesday
10220,Thursday
10220,Friday
10191,Monday
10191,Wednesday
10191,Thursday
10191,Friday
11252,Monday
11252,Wednesday
11252,Thursday
11252,Friday
11253,Monday
11253,Wednesday
11253,Thursday
11253,Friday
11254,Monday
11254,Wednesday
11254,Thursday
11254,Friday
12973,Monday
12973,Wednesday
12973,Thursday
12973,Friday
12512,Monday
12512,Wednesday
12512,Thursday
12512,Friday
10710,Monday
10710,Wednesday
10710,Thursday
10710,Friday
12513,Monday
12513,Wednesday
12513,Thursday
12513,Friday
12050,Monday
12050,Wednesday
12050,Thursday
12050,Friday
10708,Monday
10708,Wednesday
10708,Thursday
10708,Friday
10993,Tuesday
10993,Thursday
10994,Tuesday
10994,Thursday
10995,Tuesday
10995,Thursday
11140,Tuesday
11140,Thursday
12330,Tuesday
12330,Thursday
10991,Monday
10991,Wednesday
10991,Friday
10992,Monday
10992,Wednesday
10992,Friday
10417,Monday
10417,Wednesday
10417,Friday
13468,Tuesday
13468,Thursday
13469,Tuesday
13469,Thursday
13470,Tuesday
13470,Thursday
13471,Tuesday
13471,Thursday
13764,Tuesday
13764,Thursday
10996,Monday
10996,Tuesday
10996,Wednesday
10996,Friday
12514,Monday
12514,Tuesday
12514,Wednesday
12514,Friday
10997,Monday
10997,Tuesday
10997,Wednesday
10997,Friday
12515,Monday
12515,Tuesday
12515,Wednesday
12515,Friday
12331,Monday
12331,Tuesday
12331,Wednesday
12331,Friday
12333,Monday
12333,Tuesday
12333,Wednesday
12333,Friday
12332,Monday
12332,Tuesday
12332,Wednesday
12332,Friday
12818,Monday
12818,Tuesday
12818,Wednesday
12818,Friday
13472,Monday
13472,Tuesday
13472,Wednesday
13472,Friday
13473,Monday
13473,Tuesday
13473,Wednesday
13473,Friday
14511,Tuesday
14511,Thursday
14515,Tuesday
14516,Tuesday
14517,Tuesday
14518,Tuesday
14519,Tuesday
14520,Tuesday
14521,Tuesday
14522,Tuesday
14523,Tuesday
14524,Tuesday
14525,Tuesday
14526,Tuesday
14527,Tuesday
14528,Tuesday
14529,Tuesday
14530,Tuesday
14531,Tuesday
14532,Tuesday
14533,Tuesday
14534,Tuesday
14535,Tuesday
14536,Tuesday
14537,Tuesday
14538,Tuesday
14504,Monday
14504,Wednesday
14504,Friday
14505,Monday
14505,Wednesday
14505,Friday
14506,Monday
14506,Wednesday
14506,Friday
14507,Monday
14507,Wednesday
14507,Friday
14508,Monday
14508,Wednesday
14508,Friday
14509,Wednesday
14509,Friday
14512,Monday
14512,Wednesday
14513,Tuesday
14513,Thursday
14514,Monday
14514,Wednesday
10507,Monday
10507,Tuesday
10507,Wednesday
10507,Thursday
10990,Monday
10990,Tuesday
10990,Wednesday
10990,Thursday
12518,Monday
12518,Tuesday
12518,Wednesday
12518,Thursday
12476,Monday
12476,Wednesday
12517,Monday
12517,Tuesday
12517,Wednesday
12517,Thursday
13130,Monday
13130,Tuesday
13130,Wednesday
13130,Thursday
13175,Monday
13175,Tuesday
13175,Wednesday
13175,Thursday
13474,Monday
13474,Tuesday
13474,Wednesday
13474,Thursday
10221,Monday
10221,Tuesday
10221,Wednesday
10221,Thursday
10643,Tuesday
10643,Thursday
10609,Monday
10609,Tuesday
10609,Wednesday
10609,Thursday
10308,Thursday
10306,Thursday
10307,Thursday
11092,Thursday
10508,Thursday
10328,Thursday
13144,Thursday
11091,Monday
11091,Wednesday
11091,Friday
13156,Tuesday
13156,Thursday
10452,Monday
10452,Wednesday
10612,Monday
10612,Wednesday
10723,Tuesday
10723,Thursday
11615,Tuesday
11615,Thursday
12253,Monday
12253,Wednesday
